train_domains,test_domains,fraction,method,avg_acc,worst_acc,train_loss,val_loss
"['art_painting', 'cartoon']","['photo', 'sketch']",0.2,CORAL,0.6076568674816313,0.42249936370577756,3.727514664332072,1.8780910579700065
"['art_painting', 'cartoon']","['photo', 'sketch']",0.2,CORAL+NC,0.6388353605845067,0.6291677271570374,3.7611398895581565,1.8914614528315437
"['art_painting', 'cartoon']","['photo', 'sketch']",0.5,ERM,0.8041101558654135,0.730974802748791,3.502045400440693,1.7820422216940535
"['art_painting', 'cartoon']","['photo', 'sketch']",0.5,ERM+NC,0.8381310171715617,0.7576991600916264,3.5029956623911858,1.7779450070486227
"['art_painting', 'cartoon']","['photo', 'sketch']",0.5,CORAL,0.8355335650917559,0.7548994655128531,3.4902256429195404,1.7770424106236202
"['art_painting', 'cartoon']","['photo', 'sketch']",0.5,CORAL+NC,0.7994855542160779,0.7528633240010181,3.5205668807029724,1.7880518617153025
"['art_painting', 'cartoon']","['photo', 'sketch']",0.8,ERM,0.8762014530369142,0.7877322473911937,3.2873725563872096,1.6878024702391592
"['art_painting', 'cartoon']","['photo', 'sketch']",0.8,ERM+NC,0.8716053512725122,0.7821328582336472,3.312562105702419,1.690993136766068
"['art_painting', 'cartoon']","['photo', 'sketch']",0.8,CORAL,0.9313710578334295,0.8819037923135657,3.2926742609809425,1.6846661538818375
"['art_painting', 'cartoon']","['photo', 'sketch']",0.8,CORAL+NC,0.8772649407217634,0.7994400610842454,3.307438354866177,1.6912234898325123
"['art_painting', 'photo']","['cartoon', 'sketch']",0.1,ERM,0.3472704932344334,0.28327818783405445,3.8109373092651366,1.9223060213700411
"['art_painting', 'photo']","['cartoon', 'sketch']",0.1,ERM+NC,0.366782249258815,0.3660409556313993,3.8259766578674315,1.9209261019010873
"['art_painting', 'photo']","['cartoon', 'sketch']",0.1,CORAL,0.3003580729449434,0.15831000254517688,3.8168149471282957,1.922605809572147
"['art_painting', 'photo']","['cartoon', 'sketch']",0.1,CORAL+NC,0.36477765100152276,0.3374904555866633,3.8152457237243653,1.9241160099475896
"['art_painting', 'photo']","['cartoon', 'sketch']",0.2,ERM,0.4983221268818456,0.392975311784169,3.752237248420715,1.904945969561463
"['art_painting', 'photo']","['cartoon', 'sketch']",0.2,ERM+NC,0.6365665476890576,0.5803003308729957,3.764148712158203,1.8918700972552966
"['art_painting', 'photo']","['cartoon', 'sketch']",0.2,CORAL,0.6747369802909493,0.6144057011962332,3.7681841135025023,1.8970525975679453
"['art_painting', 'photo']","['cartoon', 'sketch']",0.2,CORAL+NC,0.6573533895588679,0.6065156528378722,3.746024823188782,1.8954991705729136
"['art_painting', 'photo']","['cartoon', 'sketch']",0.5,ERM,0.8756752753872709,0.8383812674980912,3.5430540213218102,1.8180543463605927
"['art_painting', 'photo']","['cartoon', 'sketch']",0.5,ERM+NC,0.8478565136983505,0.7648256553830491,3.5407380690941443,1.8165151138379652
"['art_painting', 'photo']","['cartoon', 'sketch']",0.5,CORAL,0.8684203811337243,0.7645711376940697,3.527362970205454,1.8233263971493678
"['art_painting', 'photo']","['cartoon', 'sketch']",0.5,CORAL+NC,0.8963288320765256,0.8365996436752354,3.546139662082379,1.8234127945737146
"['art_painting', 'photo']","['cartoon', 'sketch']",0.8,ERM,0.9288562253028804,0.874777297022143,3.3446618522085796,1.7507895938922438
"['art_painting', 'photo']","['cartoon', 'sketch']",0.8,ERM+NC,0.9352943067085825,0.8910664291168237,3.3679848938453487,1.7494231503014768
"['art_painting', 'photo']","['cartoon', 'sketch']",0.8,CORAL,0.9362263257287848,0.893357088317638,3.3512718503068135,1.752155403917226
"['art_painting', 'photo']","['cartoon', 'sketch']",0.8,CORAL+NC,0.9006447202346775,0.8490710104352253,3.3552956464813977,1.7518283113598514
"['art_painting', 'sketch']","['cartoon', 'photo']",0.1,ERM,0.5016796611555047,0.47904191616766467,3.8078111012776694,1.9165625256249177
"['art_painting', 'sketch']","['cartoon', 'photo']",0.1,ERM+NC,0.5998707363430136,0.5674061433447098,3.825354059537252,1.9132120913344974
"['art_painting', 'sketch']","['cartoon', 'photo']",0.1,CORAL,0.5911347101019804,0.4756825938566553,3.8016193310419717,1.906264190958531
"['art_painting', 'sketch']","['cartoon', 'photo']",0.1,CORAL+NC,0.5736371114426437,0.5017964071856288,3.8093727827072144,1.9099418906114423
"['art_painting', 'sketch']","['cartoon', 'photo']",0.2,ERM,0.7639308413888946,0.7098976109215017,3.7389320929845176,1.8832832862531694
"['art_painting', 'sketch']","['cartoon', 'photo']",0.2,ERM+NC,0.6052234268664037,0.5479041916167665,3.7449398835500083,1.8867357594772813
"['art_painting', 'sketch']","['cartoon', 'photo']",0.2,CORAL,0.6591031248084036,0.6125748502994012,3.722021480401357,1.87377602852981
"['art_painting', 'sketch']","['cartoon', 'photo']",0.2,CORAL+NC,0.773409239541395,0.7563993174061433,3.738201081752777,1.8798562070013702
"['art_painting', 'sketch']","['cartoon', 'photo']",0.5,ERM,0.7145296437841042,0.7098976109215017,3.5031609013676643,1.7917344379650646
"['art_painting', 'sketch']","['cartoon', 'photo']",0.5,ERM+NC,0.733564100468006,0.7090443686006825,3.4948063641786575,1.7767126404633204
"['art_painting', 'sketch']","['cartoon', 'photo']",0.5,CORAL,0.7280065296029102,0.7069112627986348,3.4962169155478477,1.7888200283157734
"['art_painting', 'sketch']","['cartoon', 'photo']",0.5,CORAL+NC,0.8051802538268173,0.7295221843003413,3.5163192749023438,1.7815774014885315
"['art_painting', 'sketch']","['cartoon', 'photo']",0.8,ERM,0.7555608918681409,0.7449101796407186,3.301803514069202,1.7066524196098891
"['art_painting', 'sketch']","['cartoon', 'photo']",0.8,ERM+NC,0.7683117553289326,0.7623720136518771,3.3177349754408296,1.7045802146806044
"['art_painting', 'sketch']","['cartoon', 'photo']",0.8,CORAL,0.7314414685986389,0.7299488054607508,3.2898981384202544,1.7015469508921846
"['art_painting', 'sketch']","['cartoon', 'photo']",0.8,CORAL+NC,0.7905974739939916,0.7868263473053893,3.3132337822633633,1.695197797245506
"['cartoon', 'photo']","['art_painting', 'sketch']",0.1,ERM,0.42509400252926954,0.2896411300585391,3.804085683822632,1.9214235745765293
"['cartoon', 'photo']","['art_painting', 'sketch']",0.1,ERM+NC,0.4244057608488165,0.39959277169763296,3.8276132583618163,1.921519680879773
"['cartoon', 'photo']","['art_painting', 'sketch']",0.1,CORAL,0.5022395816763171,0.4814453125,3.8113933563232423,1.9165351149965277
"['cartoon', 'photo']","['art_painting', 'sketch']",0.1,CORAL+NC,0.3675488330960486,0.30419921875,3.8505587577819824,1.9277981194110716
"['cartoon', 'photo']","['art_painting', 'sketch']",0.2,ERM,0.4267040008987656,0.3291015625,3.7414613485336305,1.8968457281369062
"['cartoon', 'photo']","['art_painting', 'sketch']",0.2,ERM+NC,0.6383826221088381,0.5965894629676762,3.7658546924591065,1.899715315795663
"['cartoon', 'photo']","['art_painting', 'sketch']",0.2,CORAL,0.4756255816126877,0.4151183507253754,3.7449708700180055,1.9012381892730015
"['cartoon', 'photo']","['art_painting', 'sketch']",0.2,CORAL+NC,0.740361758120705,0.7080078125,3.758681082725525,1.8937580104136011
"['cartoon', 'photo']","['art_painting', 'sketch']",0.5,ERM,0.8035936207527361,0.7966403665054721,3.5096529172017026,1.822712682061216
"['cartoon', 'photo']","['art_painting', 'sketch']",0.5,ERM+NC,0.8982251119480147,0.8638330363960295,3.5258031533314633,1.8204166601919498
"['cartoon', 'photo']","['art_painting', 'sketch']",0.5,CORAL,0.8110232878714367,0.7299567319928735,3.5201968596531796,1.8230024518717254
"['cartoon', 'photo']","['art_painting', 'sketch']",0.5,CORAL+NC,0.889524534113324,0.856197505726648,3.5241269698509803,1.8210046158972668
"['cartoon', 'photo']","['art_painting', 'sketch']",0.8,ERM,0.880626792063025,0.8388903028760499,3.3110818165104563,1.7519786848877925
"['cartoon', 'photo']","['art_painting', 'sketch']",0.8,ERM+NC,0.8742141393524115,0.8416899974548231,3.315999473013529,1.7504429557870578
"['cartoon', 'photo']","['art_painting', 'sketch']",0.8,CORAL,0.8930074993239374,0.8533978111478748,3.3188311355869944,1.7555594635633365
"['cartoon', 'photo']","['art_painting', 'sketch']",0.8,CORAL+NC,0.9022040013958704,0.8673962840417409,3.325308415947891,1.752972436122564
"['cartoon', 'sketch']","['art_painting', 'photo']",0.1,ERM,0.6019879186938623,0.59619140625,3.794581311089652,1.91247355375372
"['cartoon', 'sketch']","['art_painting', 'photo']",0.1,ERM+NC,0.548249789483533,0.5048828125,3.7927686146327426,1.912261380416949
"['cartoon', 'sketch']","['art_painting', 'photo']",0.1,CORAL,0.4510862064932635,0.43293413173652695,3.7839133398873463,1.9135826676492829
"['cartoon', 'sketch']","['art_painting', 'photo']",0.1,CORAL+NC,0.618555564651946,0.56884765625,3.806229761668614,1.911576098804836
"['cartoon', 'sketch']","['art_painting', 'photo']",0.2,ERM,0.5582232994947605,0.54638671875,3.685272148677281,1.8833886065659766
"['cartoon', 'sketch']","['art_painting', 'photo']",0.2,ERM+NC,0.6238450832709581,0.6197604790419161,3.7134566477366855,1.8811467964380624
"['cartoon', 'sketch']","['art_painting', 'photo']",0.2,CORAL,0.5783624157934132,0.5766467065868264,3.695482986313956,1.8797224685694731
"['cartoon', 'sketch']","['art_painting', 'photo']",0.2,CORAL+NC,0.5083370368637725,0.4951171875,3.7087927886417935,1.8816463465361806
"['cartoon', 'sketch']","['art_painting', 'photo']",0.5,ERM,0.685628157747006,0.6455078125,3.4131619930267334,1.781797237286043
"['cartoon', 'sketch']","['art_painting', 'photo']",0.5,ERM+NC,0.6701829738959582,0.62060546875,3.4361352456940546,1.7861359267322694
"['cartoon', 'sketch']","['art_painting', 'photo']",0.5,CORAL,0.7008522993076347,0.67236328125,3.4161193437046475,1.7853142112772353
"['cartoon', 'sketch']","['art_painting', 'photo']",0.5,CORAL+NC,0.6914091738398204,0.6552734375,3.4387691484557257,1.7857338946591506
"['cartoon', 'sketch']","['art_painting', 'photo']",0.8,ERM,0.7229536045097306,0.70458984375,3.1842984413278512,1.6971340197567901
"['cartoon', 'sketch']","['art_painting', 'photo']",0.8,ERM+NC,0.7114056067552395,0.69287109375,3.1875942945480347,1.697766646586671
"['cartoon', 'sketch']","['art_painting', 'photo']",0.8,CORAL,0.6838317505613772,0.6455078125,3.1811500088921907,1.6983159135949024
"['cartoon', 'sketch']","['art_painting', 'photo']",0.8,CORAL+NC,0.720613655501497,0.7041015625,3.192666954007642,1.695609455942706
"['photo', 'sketch']","['art_painting', 'cartoon']",0.1,ERM,0.4026828804927475,0.31005859375,3.8095446109771727,1.9204717990195335
"['photo', 'sketch']","['art_painting', 'cartoon']",0.1,ERM+NC,0.44156123346843,0.4133959044368601,3.8357746601104736,1.9235258901796906
"['photo', 'sketch']","['art_painting', 'cartoon']",0.1,CORAL,0.3962135705524744,0.33935546875,3.811217164993286,1.9214908703812
"['photo', 'sketch']","['art_painting', 'cartoon']",0.1,CORAL+NC,0.24861098149530717,0.18408203125,3.8212512016296385,1.9187054838095203
"['photo', 'sketch']","['art_painting', 'cartoon']",0.2,ERM,0.5369918875319966,0.5354095563139932,3.7360870361328127,1.8910198608133624
"['photo', 'sketch']","['art_painting', 'cartoon']",0.2,ERM+NC,0.6934660302901023,0.6877133105802048,3.755949521064758,1.8929018425968167
"['photo', 'sketch']","['art_painting', 'cartoon']",0.2,CORAL,0.4925282969816553,0.40869140625,3.756773662567139,1.9027078131073927
"['photo', 'sketch']","['art_painting', 'cartoon']",0.2,CORAL+NC,0.6375678260985496,0.60107421875,3.7552752256393434,1.8976805500031382
"['photo', 'sketch']","['art_painting', 'cartoon']",0.5,ERM,0.8152588723869454,0.81396484375,3.522082521365239,1.819169152696512
"['photo', 'sketch']","['art_painting', 'cartoon']",0.5,ERM+NC,0.7537812633319112,0.7119140625,3.5250581411214976,1.8197430222527262
"['photo', 'sketch']","['art_painting', 'cartoon']",0.5,CORAL,0.79727412409343,0.78839590443686,3.51251469208644,1.8147920933822266
"['photo', 'sketch']","['art_painting', 'cartoon']",0.5,CORAL+NC,0.75796748346843,0.7275390625,3.520218794162457,1.8180032498123753
"['photo', 'sketch']","['art_painting', 'cartoon']",0.8,ERM,0.8059765291702219,0.78857421875,3.328380567271535,1.7530271975615985
"['photo', 'sketch']","['art_painting', 'cartoon']",0.8,ERM+NC,0.8398587484001707,0.8251953125,3.3254467743199045,1.7439425128731405
"['photo', 'sketch']","['art_painting', 'cartoon']",0.8,CORAL,0.8140798314846416,0.78515625,3.3146906131651344,1.7488104968710005
"['photo', 'sketch']","['art_painting', 'cartoon']",0.8,CORAL+NC,0.7860978162329352,0.7744140625,3.3363464401989447,1.7504815632388402
['art_painting'],"['cartoon', 'photo', 'sketch']",0.1,ERM,0.2957039834821101,0.143802494273352,1.909392774105072,1.921794760921884
['art_painting'],"['cartoon', 'photo', 'sketch']",0.1,ERM+NC,0.27383295491354204,0.2298294731483838,1.9109810789426167,1.9215223060468498
['art_painting'],"['cartoon', 'photo', 'sketch']",0.1,CORAL,0.27861552257564515,0.25042662116040953,1.8941691716512044,1.916854139541451
['art_painting'],"['cartoon', 'photo', 'sketch']",0.1,CORAL+NC,0.33639742545022955,0.2935153583617747,1.903438667456309,1.9142705002459521
['art_painting'],"['cartoon', 'photo', 'sketch']",0.2,ERM,0.7015497861197836,0.5734283532705523,1.8719140787919362,1.8893658317113733
['art_painting'],"['cartoon', 'photo', 'sketch']",0.2,ERM+NC,0.6389018542475281,0.5197251208959023,1.8778964579105377,1.8934665286313634
['art_painting'],"['cartoon', 'photo', 'sketch']",0.2,CORAL,0.6477618098774658,0.5635021634003563,1.8725274503231049,1.8952242488848643
