train_domains,test_domains,fraction,method,avg_acc,worst_acc,train_loss,val_loss
"['Caltech101', 'SUN09']","['LabelMe', 'VOC2007']",0.2,ERM,0.4748169217152972,0.4457831325301205,3.0648924708366394,1.5712080018337793
"['Caltech101', 'SUN09']","['LabelMe', 'VOC2007']",0.2,ERM+NC,0.5518686118883116,0.5284360189573459,3.1018043160438538,1.5644789241521926
"['Caltech101', 'SUN09']","['LabelMe', 'VOC2007']",0.2,CORAL,0.45944084394449836,0.45201421800947866,3.088390976190567,1.5729263891486542
"['Caltech101', 'SUN09']","['LabelMe', 'VOC2007']",0.2,CORAL+NC,0.47735610689202307,0.4126506024096386,3.113507926464081,1.579417079695627
"['Caltech101', 'SUN09']","['LabelMe', 'VOC2007']",0.5,ERM,0.5023928653000628,0.48493975903614456,2.876993103460832,1.5133279381103018
"['Caltech101', 'SUN09']","['LabelMe', 'VOC2007']",0.5,ERM+NC,0.5368065865357163,0.5271084337349398,2.920262499289079,1.5174751700498945
"['Caltech101', 'SUN09']","['LabelMe', 'VOC2007']",0.5,CORAL,0.5593978401758694,0.5500753012048193,2.885250134901567,1.5130039668706705
"['Caltech101', 'SUN09']","['LabelMe', 'VOC2007']",0.5,CORAL+NC,0.6166249714497802,0.5867890995260664,2.9042865579778496,1.5152749901379305
"['Caltech101', 'SUN09']","['LabelMe', 'VOC2007']",0.8,ERM,0.614917311425798,0.5660545023696683,2.7187784739903043,1.461395834750603
"['Caltech101', 'SUN09']","['LabelMe', 'VOC2007']",0.8,ERM+NC,0.5685508622166391,0.5414691943127962,2.7570466382162913,1.4757664595006679
"['Caltech101', 'SUN09']","['LabelMe', 'VOC2007']",0.8,CORAL,0.5358795965853937,0.5269549763033176,2.7212541103363037,1.4708677467699225
"['Caltech101', 'SUN09']","['LabelMe', 'VOC2007']",0.8,CORAL+NC,0.5524851181979101,0.5044431279620853,2.7062994616372245,1.4540727009120065
"['Caltech101', 'VOC2007']","['LabelMe', 'SUN09']",0.1,ERM,0.44040650719881347,0.3762949421084704,3.1499817967414856,1.591254947216202
"['Caltech101', 'VOC2007']","['LabelMe', 'SUN09']",0.1,ERM+NC,0.5177931791149974,0.47251506024096385,3.1548243165016174,1.5839728473624493
"['Caltech101', 'VOC2007']","['LabelMe', 'SUN09']",0.1,CORAL,0.4237032682833711,0.3918342474101158,3.137452483177185,1.591969803475084
"['Caltech101', 'VOC2007']","['LabelMe', 'SUN09']",0.1,CORAL+NC,0.4646936695594076,0.4162096282754418,3.1215269565582275,1.5748959085404324
"['Caltech101', 'VOC2007']","['LabelMe', 'SUN09']",0.2,ERM,0.47783444105489603,0.42291285801340645,3.091583013534546,1.5840151571188925
"['Caltech101', 'VOC2007']","['LabelMe', 'SUN09']",0.2,ERM+NC,0.469627711026923,0.4494210847044485,3.083708643913269,1.5766277218921747
"['Caltech101', 'VOC2007']","['LabelMe', 'SUN09']",0.2,CORAL,0.5189228119057583,0.451249238269348,3.1050495505332947,1.5848606510246306
"['Caltech101', 'VOC2007']","['LabelMe', 'SUN09']",0.2,CORAL+NC,0.532910894033171,0.5256024096385542,3.118061125278473,1.5815688450643681
"['Caltech101', 'VOC2007']","['LabelMe', 'SUN09']",0.5,ERM,0.472262794321711,0.396709323583181,2.868928237394853,1.5299612503770743
"['Caltech101', 'VOC2007']","['LabelMe', 'SUN09']",0.5,ERM+NC,0.4573015553989266,0.3942717854966484,2.897638949480924,1.5366522003889047
"['Caltech101', 'VOC2007']","['LabelMe', 'SUN09']",0.5,CORAL,0.4558673450658209,0.39366240097501526,2.8730174086310645,1.5228202438339262
"['Caltech101', 'VOC2007']","['LabelMe', 'SUN09']",0.5,CORAL+NC,0.4565911039037319,0.4082876294942108,2.9030636115507646,1.529470230869922
"['Caltech101', 'VOC2007']","['LabelMe', 'SUN09']",0.8,ERM,0.44402484251448204,0.396709323583181,2.708181578772409,1.5008848976509699
"['Caltech101', 'VOC2007']","['LabelMe', 'SUN09']",0.8,ERM+NC,0.4440705004662159,0.3915295551492992,2.6831802572522845,1.4780717509962695
"['Caltech101', 'VOC2007']","['LabelMe', 'SUN09']",0.8,CORAL,0.4374642078368318,0.38848263254113347,2.72214012827192,1.49627184131307
"['Caltech101', 'VOC2007']","['LabelMe', 'SUN09']",0.8,CORAL+NC,0.44074504140877957,0.38939670932358317,2.715210403714861,1.499319259263872
"['LabelMe', 'SUN09']","['Caltech101', 'VOC2007']",0.1,ERM,0.3310804389328957,0.25724381625441695,3.0621883273124695,1.5814108203642194
"['LabelMe', 'SUN09']","['Caltech101', 'VOC2007']",0.1,ERM+NC,0.3802492757021084,0.29265402843601895,3.1137873828411102,1.5892700216152615
"['LabelMe', 'SUN09']","['Caltech101', 'VOC2007']",0.1,CORAL,0.5419258578533988,0.428021327014218,3.079945206642151,1.5772250257674645
"['LabelMe', 'SUN09']","['Caltech101', 'VOC2007']",0.1,CORAL+NC,0.5413052852812621,0.4472748815165877,3.0998112559318542,1.5746499999689094
"['LabelMe', 'SUN09']","['Caltech101', 'VOC2007']",0.2,ERM,0.23530052082461106,0.1625441696113074,2.9480158537626266,1.5753237334385033
"['LabelMe', 'SUN09']","['Caltech101', 'VOC2007']",0.2,ERM+NC,0.48598441712859847,0.4603080568720379,2.9686057418584824,1.5569955384685576
"['LabelMe', 'SUN09']","['Caltech101', 'VOC2007']",0.2,CORAL,0.608150130624822,0.4777843601895735,2.9613563269376755,1.558144626137424
"['LabelMe', 'SUN09']","['Caltech101', 'VOC2007']",0.2,CORAL+NC,0.2963419816455378,0.2049469964664311,2.9829469323158264,1.5685911225813018
"['LabelMe', 'SUN09']","['Caltech101', 'VOC2007']",0.5,ERM,0.6308133279185437,0.5542061611374408,2.668775843410957,1.4967255662406829
"['LabelMe', 'SUN09']","['Caltech101', 'VOC2007']",0.5,ERM+NC,0.6092271574029107,0.543542654028436,2.652010812992003,1.4947419239973492
"['LabelMe', 'SUN09']","['Caltech101', 'VOC2007']",0.5,CORAL,0.6403539639609466,0.5542061611374408,2.6332536441523855,1.475510105468375
"['LabelMe', 'SUN09']","['Caltech101', 'VOC2007']",0.5,CORAL+NC,0.5738005124512251,0.542654028436019,2.677635175425832,1.4984014115731155
"['LabelMe', 'SUN09']","['Caltech101', 'VOC2007']",0.8,ERM,0.6446337062281244,0.57760663507109,2.4111076268282803,1.4342717900037498
"['LabelMe', 'SUN09']","['Caltech101', 'VOC2007']",0.8,ERM+NC,0.6587865079630901,0.5938981042654028,2.4239763021469116,1.4314550377880086
"['LabelMe', 'SUN09']","['Caltech101', 'VOC2007']",0.8,CORAL,0.6449951225026376,0.5903436018957346,2.418887799436396,1.44245421130678
"['LabelMe', 'SUN09']","['Caltech101', 'VOC2007']",0.8,CORAL+NC,0.6774105931706664,0.5986374407582938,2.435549085790461,1.439173127346856
"['LabelMe', 'VOC2007']","['Caltech101', 'SUN09']",0.1,ERM,0.30007471958622145,0.28692579505300353,3.1016467213630676,1.5867008894657224
"['LabelMe', 'VOC2007']","['Caltech101', 'SUN09']",0.1,ERM+NC,0.42764517025083815,0.38391224862888484,3.1055558621883392,1.5731128232607077
"['LabelMe', 'VOC2007']","['Caltech101', 'SUN09']",0.1,CORAL,0.4129776293434797,0.35740402193784276,3.0968227088451385,1.5731085559673774
"['LabelMe', 'VOC2007']","['Caltech101', 'SUN09']",0.1,CORAL+NC,0.4043406265678732,0.38515901060070673,3.0979643166065216,1.578985280632852
"['LabelMe', 'VOC2007']","['Caltech101', 'SUN09']",0.2,ERM,0.6566566107454086,0.48080438756855576,3.004085958003998,1.5508582425220991
"['LabelMe', 'VOC2007']","['Caltech101', 'SUN09']",0.2,ERM+NC,0.5550041666397504,0.5191956124314442,3.0296437740325928,1.5483648766988534
"['LabelMe', 'VOC2007']","['Caltech101', 'SUN09']",0.2,CORAL,0.6175017172585018,0.48659354052407067,2.992209941148758,1.5414515990991597
"['LabelMe', 'VOC2007']","['Caltech101', 'SUN09']",0.2,CORAL+NC,0.593509408853948,0.48171846435100546,2.9950804710388184,1.5401035279014712
"['LabelMe', 'VOC2007']","['Caltech101', 'SUN09']",0.5,ERM,0.6077600704560479,0.48689823278488725,2.7011787135426593,1.443821928219141
"['LabelMe', 'VOC2007']","['Caltech101', 'SUN09']",0.5,ERM+NC,0.5910443084992991,0.4506398537477148,2.711484862536919,1.4451873525316756
"['LabelMe', 'VOC2007']","['Caltech101', 'SUN09']",0.5,CORAL,0.6275968286165248,0.5371724558196221,2.6980954728475433,1.4461537332553713
"['LabelMe', 'VOC2007']","['Caltech101', 'SUN09']",0.5,CORAL+NC,0.6230073879798366,0.5216331505179769,2.7147804062540937,1.4443891183773623
"['LabelMe', 'VOC2007']","['Caltech101', 'SUN09']",0.8,ERM,0.6358847811060652,0.506398537477148,2.502985123432044,1.3703303960413207
"['LabelMe', 'VOC2007']","['Caltech101', 'SUN09']",0.8,ERM+NC,0.6322306272784628,0.5167580743449116,2.488565192078099,1.3631753068507146
"['LabelMe', 'VOC2007']","['Caltech101', 'SUN09']",0.8,CORAL,0.6012514992366543,0.47105423522242534,2.4847863948706426,1.3656862218880532
"['LabelMe', 'VOC2007']","['Caltech101', 'SUN09']",0.8,CORAL+NC,0.609916171945487,0.48202315661182205,2.500253196918603,1.3678755998648415
"['SUN09', 'VOC2007']","['Caltech101', 'LabelMe']",0.1,ERM,0.6176885989186427,0.48343373493975905,3.0860023736953734,1.5489078433132297
"['SUN09', 'VOC2007']","['Caltech101', 'LabelMe']",0.1,ERM+NC,0.602556249733918,0.5429216867469879,3.1056386709213255,1.5471926574957946
"['SUN09', 'VOC2007']","['Caltech101', 'LabelMe']",0.1,CORAL,0.6657533845629869,0.598644578313253,3.109944772720337,1.5568551047510395
"['SUN09', 'VOC2007']","['Caltech101', 'LabelMe']",0.1,CORAL+NC,0.5659180893184044,0.5120481927710844,3.1083788871765137,1.545080745292251
"['SUN09', 'VOC2007']","['Caltech101', 'LabelMe']",0.2,ERM,0.5945015485972157,0.5395331325301205,2.9974839210510256,1.5054534464565759
"['SUN09', 'VOC2007']","['Caltech101', 'LabelMe']",0.2,ERM+NC,0.6503843554429733,0.5297439759036144,3.0049745202064515,1.5028479350055233
"['SUN09', 'VOC2007']","['Caltech101', 'LabelMe']",0.2,CORAL,0.7059281738260463,0.6238704819277109,2.9924426674842834,1.4996131250489753
"['SUN09', 'VOC2007']","['Caltech101', 'LabelMe']",0.2,CORAL+NC,0.7164362840052791,0.6208584337349398,3.0297186851501463,1.5088416577075714
"['SUN09', 'VOC2007']","['Caltech101', 'LabelMe']",0.5,ERM,0.7099046362126953,0.6325301204819277,2.731062650680542,1.389292364400325
"['SUN09', 'VOC2007']","['Caltech101', 'LabelMe']",0.5,ERM+NC,0.7120125377836435,0.6551204819277109,2.7347067337410125,1.3656921344432922
